Q_0.010,Q_0.025,Q_0.050,Q_0.100,Q_0.150,Q_0.200,Q_0.250,Q_0.300,Q_0.350,Q_0.400,Q_0.450,Q_0.500,Q_0.550,Q_0.600,Q_0.650,Q_0.700,Q_0.750,Q_0.800,Q_0.850,Q_0.900,Q_0.950,Q_0.975,Q_0.990
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
0,0,0,1,2,2,3,4,5,5,6,7,8,9,10,11,13,14,17,20,25,30,38
0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,21,24,30,36.5,45
1,1,3,4,6,7,8,10,11,12,13,14,15,17,18,20,22,24,27,31,38,45,55
2,3,5,7,9,11,12,14,15,16,18,20,21,23,25,26,29,31,35,39,46,53,64
4,6,9,12,14,16,18,20,22,23,25,26,28,30,32,34,37,40,43,49,57,65,76
8,11,14,18,21,23,26,28,30,32,34,35,38,40,42,45,47,51,55,60.5,69,79,91
14,18,22,27,31,34,37,39,41,44,46,48,51,53,56,59,62,66,70,77,87,99,115
23,29,33,39,43,46,50,53,55,58,61,64,67,69,73,76,79.5,84,89,96,108,120,136
35,41,47,55,60,65,68,72,75,78,81,84,87,91,95,99,103,107,114,122,134,147,162
52,60,67,77,83,87,92,96,99,103,107,111,114,118,122,126,131,136,143,152,167,181,199
73,83,92,103.5,111,116,122,127,131,135,139,144,148,152,156,161,167,173,181,191,207,223,245
106,118,128,140,149,155,161,166,172,176,181,185,191,195,200,206,212,219,229,239,256,273.5,295
137.5,154,167,181,190,198,205,212,217,223,228,233,239,245,250,257,263.5,272,282,295,317,334,363
184.5,200,215,232,244,253,260,266,273,280,285,292,298,305,311,319,327,336,347,363,384,403.5,436.5
237,256.5,271,291,302,313,321,329,337,344,351,358,364,371,378,386,395,406,418,435,459.5,482.5,512.5
293,316,331,352,366,376,386,394,402.5,410,419,426,434,442,451,460,469,481,494,511,538,561.5,588.5
352,374,393,414,430,442,452,461,468.5,477,485,493,501,510,519,528,538,551,566,582,610.5,636,671
406,427,447,470,487,502,512,522,532,542,550,559,568,576,585,596,607,619,635,655,686,714,759.5
444,473.5,495,522,540,554,567,578,588,598,607,617,625,636,646,655,667,681,696,718,750,775,810
467.5,498,520.5,549,571,587,600,612,623,635,644.5,654,664,674,684,695,707,723,739,761,794.5,821.5,860.5
466,498.5,523.5,557,577,595,610,621,633,643,653,663,673,683,694,706,718,731,746,768,802,836,869.5
440,481,508.5,543,567,583,597,609,621,631,641,652,663,673,684,696,709,722,739,757,789,818.5,852
390,431,471,505,530,546,562,575,587,598,608,617,629,639,650,660,672,684.5,699,721,751,781.5,820.5
